20170520:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170521:00:00:00|Gym Workouts|ACTIONTRACKER|{bench press,stairs}
20170522:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170523:00:00:00|Gym Workouts|ACTIONTRACKER|{bench press}
20170524:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs,rows}
20170525:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,rows}
20170526:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170527:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170528:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170529:00:00:00|Gym Workouts|ACTIONTRACKER|{bench press,stairs}
20170530:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170531:00:00:00|Gym Workouts|ACTIONTRACKER|{bench press}
20170601:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs,rows}
20170602:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,rows}
20170603:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170604:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170605:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170606:00:00:00|Gym Workouts|ACTIONTRACKER|{bench press,stairs}
20170607:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170608:00:00:00|Gym Workouts|ACTIONTRACKER|{bench press}
20170609:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs,rows}
20170610:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,rows}
20170611:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170612:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170613:00:00:00|Gym Workouts|ACTIONTRACKER|{shoulder press,stairs}
20170614:00:00:00|Gym Workouts|ACTIONTRACKER|{bench press,stairs}
